product_id,product_name,price,category_id,category_name,product_description,category_description
56,Fitness Tracker Smartwatch,700,1,Electronics,Monitor your health in style.,Technological devices for entertainment communication and daily tasks such as smartphones and TVs.
57,Nonstick Cookware Set,400,4,Kitchen,Add a special touch to your recipes.,Utensils and equipment for food preparation and storage such as pots and blenders.
58,LED Desk Lamp,150,17,Lighting,Light up your space efficiently.,Lamps bulbs and other products for illuminating and decorating spaces.
59,Portable Charcoal Grill,200,18,Home,Perfect for outdoor barbecues.,Various household items for home use and organization.
60,Professional Hair Dryer,180,19,Beauty,Power and efficiency for daily use.,Cosmetics makeup and accessories for aesthetic care.
61,Adjustable Gaming Chair,850,20,Office,Comfort for long gaming sessions.,Furniture and materials for offices and study spaces.
62,Bamboo Cutting Board,80,4,Kitchen,Durable and eco-friendly.,Utensils and equipment for food preparation and storage such as pots and blenders.
63,Smartphone with Triple Camera,2800,1,Electronics,Incredible performance in your hands.,Technological devices for entertainment communication and daily tasks such as smartphones and TVs.
64,Vegan Recipe Book,50,9,Books,Discover new delicious options.,Various titles for reading and learning in different genres and fields.
65,Bluetooth Headphones,300,1,Electronics,Clear and immersive sound.,Technological devices for entertainment communication and daily tasks such as smartphones and TVs.
66,Anti-Theft Laptop Backpack,250,21,Accessories,Security and convenience for travel.,Complementary items for style and functionality such as bags wallets and watches.
67,Cotton Towel Set,120,18,Home,Guaranteed softness and absorption.,Various household items for home use and organization.
68,Non-Slip Living Room Rug,200,18,Home,Style and safety for any environment.,Various household items for home use and organization.
69,Water Bottle with Filter,90,10,Sports,Ideal for healthy hydration.,Equipment and accessories for practicing physical activities and sports.
69,Measuring Spoon Set,80,4,Kitchen,Essential for culinary precision.,Utensils and equipment for food preparation and storage such as pots and blenders.
71,Digital Drawing Tablet,350,1,Electronics,Create your best ideas.,Technological devices for entertainment communication and daily tasks such as smartphones and TVs.
72,Classic Wristwatch,250,13,Fashion,Elegance for daily wear.,Accessories and stylish items to complement looks and trends.
73,LED Makeup Mirror,300,19,Beauty,Perfect for detailed makeup application.,Cosmetics makeup and accessories for aesthetic care.
74,Wi-Fi Security Camera,300,22,Security,Protect your home with advanced technology.,Products for protection and monitoring such as cameras and alarms.
75,Fast Wireless Charger,180,1,Electronics,Convenience when charging your devices.,Technological devices for entertainment communication and daily tasks such as smartphones and TVs.
76,Multifunctional Vegetable Cutter,150,4,Kitchen,Ease in meal preparation.,Utensils and equipment for food preparation and storage such as pots and blenders.
77,Inflatable Mattress with Electric Pump,400,18,Home,Ideal for unexpected guests.,Various household items for home use and organization.
78,High-Speed Wi-Fi Router,250,1,Electronics,Stable connection for the whole house.,Technological devices for entertainment communication and daily tasks such as smartphones and TVs.
79,Unisex Hoodie,130,13,Fashion,Comfort for any season.,Accessories and stylish items to complement looks and trends.
80,Gardening Kit with Tools,180,18,Home,Take care of your garden in style.,Various household items for home use and organization.
81,4K UHD Smart TV,2800,1,Electronics,Cinema experience in your living room.,Technological devices for entertainment communication and daily tasks.
82,Heat-Resistant Kitchen Gloves,80,4,Kitchen,Protection for your hands while cooking.,Utensils and equipment for food preparation and storage.
83,Set of Dumbbells for Gym,350,10,Sports,Make your workout more efficient.,Equipment and accessories for physical activities and sports.
84,Programmable Electric Coffee Maker,550,4,Kitchen,Wake up with fresh coffee every day.,Utensils and equipment for food preparation and storage.
85,Wireless Ergonomic Mouse,120,1,Electronics,Comfort and precision at work.,Technological devices for entertainment communication and daily tasks.
86,Foldable Bicycle for Adults,1500,10,Sports,Convenience and sustainable transport.,Equipment and accessories for physical activities and sports.
87,Non-Stick Frying Pan Set,250,4,Kitchen,Cook without sticking.,Utensils and equipment for food preparation and storage.
88,Waterproof Camping Tent,500,10,Sports,Ideal for outdoor adventures.,Equipment and accessories for physical activities and sports.
89,Stainless Steel Cutlery Set,120,4,Kitchen,Sophisticated design for your table.,Utensils and equipment for food preparation and storage.
90,Children's Activity Cube,100,23,Toys,Entertain and educate the little ones.,Items for children's fun and learning.
91,Foldable Stroller,850,24,Baby,Convenience for modern parents.,Products for baby care and comfort.
92,12-Function Multi-tool,150,10,Sports,A companion for all situations.,Equipment and accessories for physical activities and sports.
93,Orthopedic Cushion for Chair,100,18,Home,Comfort for long sitting periods.,Various items for home use and home organization.
94,Professional Makeup Brushes,120,19,Beauty,Perfect application for any look.,Cosmetics makeup and accessories for aesthetic care.
95,Rotating Desk Organizer,150,20,Office,Keep everything within reach.,Furniture and materials for offices and study.
96,2-in-1 Sandwich Maker,130,4,Kitchen,Prepare delicious snacks in minutes.,Utensils and equipment for food preparation and storage.
97,Smartwatch with Oximeter,750,1,Electronics,Monitor your health in real-time.,Technological devices for entertainment communication and daily tasks.
98,UV Protection T-shirt,90,10,Sports,Perfect for outdoor activities.,Equipment and accessories for physical activities and sports.
99,Set of Furniture Casters,50,18,Home,Easy movement of heavy furniture.,Various items for home use and home organization.
100,Universal Plug Adapter,40,8,Travel,Compatible with various countries.,Products to ease travel like suitcases backpacks and accessories.
101,Steam Iron,150,18,Home,Impeccable clothes with ease.,Various items for home use and home organization.
102,Stainless Steel Oven Rack,180,4,Kitchen,Perfect for crispy roasts.,Utensils and equipment for food preparation and storage.
103,Waterproof Jacket with Hood,350,10,Sports,Ideal for rainy days.,Equipment and accessories for physical activities and sports.
104,Instant Camera with Film,500,1,Electronics,Capture memories in a fun way.,Technological devices for entertainment communication and daily tasks.
105,Decorative Aromatherapy Candles Set,70,18,Home,Scent and decorate at the same time.,Various items for home use and home organization.
